Closing the Achievement Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,"Metric City Rating - Weighted Diploma Rate, 4 Year - ELL","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - ELL","Population Percentage of Range - Weighted Diploma Rate, 4 Year - ELL","Metric Value - Weighted Diploma Rate, 4 Year - ELL","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Metric Score - Weighted Diploma Rate, 4 Year - ELL","Metric City Rating - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Population Percentage of Range - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric Value - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric Score - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric City Rating - Weighted Diploma Rate, 4 Year - Lowest Third City","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - Lowest Third City","Population Percentage of Range - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric Value - Weighted Diploma Rate, 4 Year - Lowest Third City","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric Score - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric City Rating - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Population Percentage of Range - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric Value - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric Score - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric City Rating - Percentage in Lowest Third City, College and Career Prep Course Index","Percentage of Enrollment - Percentage in Lowest Third City, College and Career Prep Course Index","Population Percentage of Range - Percentage in Lowest Third City, College and Career Prep Course Index","Metric Value - Percentage in Lowest Third City, College and Career Prep Course Index","Approaching Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Meeting Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Exceeding Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Metric Score - Percentage in Lowest Third City, College and Career Prep Course Index","Metric City Rating - Percentage in Lowest Third City, 4-year Non-Remediation Index","Percentage of Enrollment - Percentage in Lowest Third City, 4-year Non-Remediation Index","Population Percentage of Range - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric Value - Percentage in Lowest Third City, 4-year Non-Remediation Index","Approaching Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Meeting Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Exceeding Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric Score - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric City Rating - Percentage in Lowest Third City, PER, 6 Months After High School","Percentage of Enrollment - Percentage in Lowest Third City, PER, 6 Months After High School","Population Percentage of Range - Percentage in Lowest Third City, PER, 6 Months After High School","Metric Value - Percentage in Lowest Third City, PER, 6 Months After High School","Approaching Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Meeting Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Exceeding Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Metric Score - Percentage in Lowest Third City, PER, 6 Months After High School",,,,,,,
02M419,Landmark High School,Meeting Target,27.6%,49.6%,181.5%,103.0%,163.9%,225.7%,3.28,Meeting Target,31.6%,80.2%,209.7%,110.0%,197.0%,285.2%,3.14,Meeting Target,57.1%,85.7%,155.4%,71.2%,127.5%,184.6%,3.49,Approaching Target,36.7%,94.1%,100.0%,65.3%,116.9%,169.2%,2.67,Not Meeting Target,57.1%,85.7%,7.1%,7.3%,13.0%,18.9%,1.97,Exceeding Target,57.1%,85.7%,10.7%,1.4%,2.5%,3.7%,4.99,Exceeding Target,52.9%,87.0%,37.0%,11.4%,20.4%,29.5%,4.54,,,,,,,
02M420,High School for Health Professions and Human Servi,N/A,6.9%,12.4%,298.4%,103.0%,163.9%,225.7%,,Exceeding Target,11.6%,29.4%,298.1%,110.0%,197.0%,285.2%,4.10,Exceeding Target,16.7%,25.1%,204.0%,71.2%,127.5%,184.6%,4.22,N/A,6.4%,16.4%,165.5%,65.3%,116.9%,169.2%,,Exceeding Target,16.7%,25.1%,69.3%,7.3%,13.0%,18.9%,4.99,Not Meeting Target,16.7%,25.1%,1.3%,1.4%,2.5%,3.7%,1.93,Exceeding Target,19.4%,31.9%,46.2%,11.4%,20.4%,29.5%,4.99,,,,,,,
02M422,Quest to Learn,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,100.0%,100.0%,,71.2%,127.5%,184.6%,,N/A,100.0%,100.0%,,65.3%,116.9%,169.2%,,N/A,100.0%,100.0%,,7.3%,13.0%,18.9%,,N/A,100.0%,100.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
02M425,Leadership and Public Service High School,Approaching Target,14.2%,25.5%,117.4%,103.0%,163.9%,225.7%,2.24,Approaching Target,20.4%,51.8%,133.3%,110.0%,197.0%,285.2%,2.27,Approaching Target,43.2%,64.9%,121.4%,71.2%,127.5%,184.6%,2.89,Approaching Target,19.1%,49.0%,100.0%,65.3%,116.9%,169.2%,2.67,Meeting Target,43.2%,64.9%,14.3%,7.3%,13.0%,18.9%,3.22,Not Meeting Target,43.2%,64.9%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,45.3%,74.5%,29.9%,11.4%,20.4%,29.5%,4.03,,,,,,,
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,Meeting Target,100.0%,100.0%,172.5%,103.0%,163.9%,225.7%,3.14,N/A,3.4%,8.6%,,110.0%,197.0%,285.2%,,Meeting Target,51.7%,77.6%,158.7%,71.2%,127.5%,184.6%,3.55,Meeting Target,30.3%,77.7%,148.1%,65.3%,116.9%,169.2%,3.60,Not Meeting Target,51.7%,77.6%,4.3%,7.3%,13.0%,18.9%,1.59,Exceeding Target,51.7%,77.6%,6.5%,1.4%,2.5%,3.7%,4.99,Meeting Target,57.3%,94.2%,27.3%,11.4%,20.4%,29.5%,3.76,,,,,,,
02M429,Legacy School for Integrated Studies,N/A,10.0%,18.0%,,103.0%,163.9%,225.7%,,Exceeding Target,45.0%,100.0%,288.9%,110.0%,197.0%,285.2%,4.03,Meeting Target,40.0%,60.1%,162.5%,71.2%,127.5%,184.6%,3.61,N/A,20.0%,51.3%,,65.3%,116.9%,169.2%,,Not Meeting Target,40.0%,60.1%,0.0%,7.3%,13.0%,18.9%,1.00,Exceeding Target,40.0%,60.1%,12.5%,1.4%,2.5%,3.7%,4.99,Meeting Target,70.5%,100.0%,22.6%,11.4%,20.4%,29.5%,3.24,,,,,,,
02M437,Hudson High School of Learning Technologies,N/A,12.8%,23.0%,140.0%,103.0%,163.9%,225.7%,,Meeting Target,21.4%,54.3%,208.0%,110.0%,197.0%,285.2%,3.12,Meeting Target,36.8%,55.3%,140.7%,71.2%,127.5%,184.6%,3.23,Approaching Target,26.5%,67.9%,104.8%,65.3%,116.9%,169.2%,2.77,Not Meeting Target,36.8%,55.3%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,36.8%,55.3%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,31.6%,52.0%,54.8%,11.4%,20.4%,29.5%,4.99,,,,,,,
02M438,International High School at Union Square,Meeting Target,89.9%,100.0%,197.9%,103.0%,163.9%,225.7%,3.55,N/A,2.5%,6.3%,,110.0%,197.0%,285.2%,,Exceeding Target,59.5%,89.3%,204.3%,71.2%,127.5%,184.6%,4.23,Approaching Target,16.5%,42.3%,100.0%,65.3%,116.9%,169.2%,2.67,Meeting Target,59.5%,89.3%,17.0%,7.3%,13.0%,18.9%,3.68,Exceeding Target,59.5%,89.3%,19.1%,1.4%,2.5%,3.7%,4.99,Meeting Target,49.5%,81.4%,23.9%,11.4%,20.4%,29.5%,3.38,,,,,,,
02M439,Manhattan Village Academy,N/A,8.6%,15.4%,450.0%,103.0%,163.9%,225.7%,,Exceeding Target,9.9%,25.1%,712.5%,110.0%,197.0%,285.2%,4.99,N/A,4.9%,7.4%,,71.2%,127.5%,184.6%,,N/A,1.2%,3.1%,,65.3%,116.9%,169.2%,,N/A,4.9%,7.4%,,7.3%,13.0%,18.9%,,N/A,4.9%,7.4%,,1.4%,2.5%,3.7%,,N/A,4.4%,7.2%,100.0%,11.4%,20.4%,29.5%,,,,,,,,
02M449,Vanguard High School,N/A,6.9%,12.4%,325.0%,103.0%,163.9%,225.7%,,Meeting Target,21.6%,54.8%,256.0%,110.0%,197.0%,285.2%,3.67,Exceeding Target,37.1%,55.7%,209.3%,71.2%,127.5%,184.6%,4.28,Exceeding Target,18.1%,46.4%,181.0%,65.3%,116.9%,169.2%,4.15,Meeting Target,37.1%,55.7%,16.3%,7.3%,13.0%,18.9%,3.56,Exceeding Target,37.1%,55.7%,23.3%,1.4%,2.5%,3.7%,4.99,Exceeding Target,43.2%,71.1%,43.8%,11.4%,20.4%,29.5%,4.99,,,,,,,
02M459,Manhattan International High School,Meeting Target,94.3%,100.0%,193.9%,103.0%,163.9%,225.7%,3.49,N/A,4.3%,10.9%,,110.0%,197.0%,285.2%,,Exceeding Target,41.4%,62.2%,193.1%,71.2%,127.5%,184.6%,4.10,Exceeding Target,11.4%,29.2%,175.0%,65.3%,116.9%,169.2%,4.07,Meeting Target,41.4%,62.2%,13.8%,7.3%,13.0%,18.9%,3.14,Exceeding Target,41.4%,62.2%,27.6%,1.4%,2.5%,3.7%,4.99,Exceeding Target,40.9%,67.3%,40.7%,11.4%,20.4%,29.5%,4.81,,,,,,,
02M460,Washington Irving High School,Not Meeting Target,20.5%,36.8%,66.7%,103.0%,163.9%,225.7%,1.53,Not Meeting Target,34.1%,86.5%,106.7%,110.0%,197.0%,285.2%,1.97,Approaching Target,58.0%,87.1%,83.3%,71.2%,127.5%,184.6%,2.21,Approaching Target,36.4%,93.3%,78.1%,65.3%,116.9%,169.2%,2.25,Meeting Target,58.0%,87.1%,15.7%,7.3%,13.0%,18.9%,3.46,Not Meeting Target,58.0%,87.1%,0.0%,1.4%,2.5%,3.7%,1.00,Approaching Target,57.8%,95.1%,17.3%,11.4%,20.4%,29.5%,2.66,,,,,,,
02M475,Stuyvesant High School,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.2%,0.5%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.4%,0.7%,,11.4%,20.4%,29.5%,,,,,,,,
02M489,High School of Economics and Finance,Meeting Target,17.1%,30.7%,167.6%,103.0%,163.9%,225.7%,3.06,Approaching Target,14.6%,37.1%,162.1%,110.0%,197.0%,285.2%,2.60,Meeting Target,27.1%,40.7%,137.0%,71.2%,127.5%,184.6%,3.17,Meeting Target,15.6%,40.0%,141.9%,65.3%,116.9%,169.2%,3.48,Meeting Target,27.1%,40.7%,13.0%,7.3%,13.0%,18.9%,3.00,Exceeding Target,27.1%,40.7%,3.7%,1.4%,2.5%,3.7%,4.00,Exceeding Target,21.3%,35.0%,42.4%,11.4%,20.4%,29.5%,4.93,,,,,,,
02M500,Unity Center for Urban Technologies,Meeting Target,20.9%,37.5%,222.2%,103.0%,163.9%,225.7%,3.94,Exceeding Target,41.9%,100.0%,294.4%,110.0%,197.0%,285.2%,4.07,Exceeding Target,58.1%,87.2%,216.0%,71.2%,127.5%,184.6%,4.36,Exceeding Target,41.9%,100.0%,211.1%,65.3%,116.9%,169.2%,4.52,Approaching Target,58.1%,87.2%,8.0%,7.3%,13.0%,18.9%,2.12,Exceeding Target,58.1%,87.2%,4.0%,1.4%,2.5%,3.7%,4.18,Exceeding Target,66.7%,100.0%,31.6%,11.4%,20.4%,29.5%,4.15,,,,,,,
02M507,Urban Assembly Gateway School for Technology,N/A,12.9%,23.2%,230.0%,103.0%,163.9%,225.7%,,Exceeding Target,19.0%,48.2%,490.9%,110.0%,197.0%,285.2%,4.99,Exceeding Target,21.6%,32.4%,322.0%,71.2%,127.5%,184.6%,4.99,Exceeding Target,16.4%,42.1%,318.4%,65.3%,116.9%,169.2%,4.99,Exceeding Target,21.6%,32.4%,32.0%,7.3%,13.0%,18.9%,4.99,Exceeding Target,21.6%,32.4%,4.0%,1.4%,2.5%,3.7%,4.18,N/A,100.0%,100.0%,,11.4%,20.4%,29.5%,,,,,,,,
02M519,Talent Unlimited High School,N/A,2.4%,4.3%,,103.0%,163.9%,225.7%,,N/A,6.0%,15.2%,460.0%,110.0%,197.0%,285.2%,,N/A,3.6%,5.4%,,71.2%,127.5%,184.6%,,N/A,1.2%,3.1%,,65.3%,116.9%,169.2%,,N/A,3.6%,5.4%,,7.3%,13.0%,18.9%,,N/A,3.6%,5.4%,,1.4%,2.5%,3.7%,,N/A,8.6%,14.1%,73.3%,11.4%,20.4%,29.5%,,,,,,,,
02M520,Murry Bergtraum High School for Business Careers,Approaching Target,18.2%,32.7%,111.2%,103.0%,163.9%,225.7%,2.13,Approaching Target,16.4%,41.6%,128.8%,110.0%,197.0%,285.2%,2.22,Not Meeting Target,47.2%,70.9%,59.0%,71.2%,127.5%,184.6%,1.83,Not Meeting Target,23.3%,59.7%,52.7%,65.3%,116.9%,169.2%,1.81,Approaching Target,47.2%,70.9%,12.7%,7.3%,13.0%,18.9%,2.95,Not Meeting Target,47.2%,70.9%,0.7%,1.4%,2.5%,3.7%,1.50,Approaching Target,41.6%,68.4%,17.7%,11.4%,20.4%,29.5%,2.70,,,,,,,
02M529,Jacqueline Kennedy Onassis High School,Approaching Target,16.7%,30.0%,143.5%,103.0%,163.9%,225.7%,2.67,Meeting Target,17.2%,43.7%,235.9%,110.0%,197.0%,285.2%,3.44,Approaching Target,36.6%,55.0%,97.8%,71.2%,127.5%,184.6%,2.47,Approaching Target,18.3%,46.9%,101.5%,65.3%,116.9%,169.2%,2.70,Not Meeting Target,36.6%,55.0%,2.9%,7.3%,13.0%,18.9%,1.40,Not Meeting Target,36.6%,55.0%,0.0%,1.4%,2.5%,3.7%,1.00,Meeting Target,40.5%,66.6%,22.9%,11.4%,20.4%,29.5%,3.27,,,,,,,
02M531,Repertory Company High School for Theatre Arts,N/A,1.8%,3.2%,,103.0%,163.9%,225.7%,,N/A,8.8%,22.3%,600.0%,110.0%,197.0%,285.2%,,N/A,8.8%,13.2%,350.0%,71.2%,127.5%,184.6%,,N/A,3.5%,9.0%,,65.3%,116.9%,169.2%,,N/A,8.8%,13.2%,80.0%,7.3%,13.0%,18.9%,,N/A,8.8%,13.2%,0.0%,1.4%,2.5%,3.7%,,Exceeding Target,15.7%,25.8%,37.5%,11.4%,20.4%,29.5%,4.58,,,,,,,
02M533,Union Square Academy for Health Sciences,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
02M534,Harvest Collegiate High School,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,66.7%,100.0%,,110.0%,197.0%,285.2%,,N/A,66.7%,100.0%,,71.2%,127.5%,184.6%,,N/A,33.3%,85.4%,,65.3%,116.9%,169.2%,,N/A,66.7%,100.0%,,7.3%,13.0%,18.9%,,N/A,66.7%,100.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
02M542,Manhattan Bridges High School,Exceeding Target,78.7%,100.0%,284.4%,103.0%,163.9%,225.7%,4.62,N/A,0.8%,2.0%,,110.0%,197.0%,285.2%,,Exceeding Target,38.5%,57.8%,264.9%,71.2%,127.5%,184.6%,4.92,Exceeding Target,17.2%,44.1%,271.4%,65.3%,116.9%,169.2%,4.99,Exceeding Target,38.5%,57.8%,80.9%,7.3%,13.0%,18.9%,4.99,Exceeding Target,38.5%,57.8%,29.8%,1.4%,2.5%,3.7%,4.99,Exceeding Target,47.2%,77.6%,65.7%,11.4%,20.4%,29.5%,4.99,,,,,,,
02M543,New Design High School,N/A,9.1%,16.3%,200.0%,103.0%,163.9%,225.7%,,Exceeding Target,28.3%,71.8%,289.3%,110.0%,197.0%,285.2%,4.03,Exceeding Target,42.4%,63.7%,192.9%,71.2%,127.5%,184.6%,4.10,Exceeding Target,19.2%,49.2%,210.5%,65.3%,116.9%,169.2%,4.52,Not Meeting Target,42.4%,63.7%,4.8%,7.3%,13.0%,18.9%,1.66,Not Meeting Target,42.4%,63.7%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,50.5%,83.1%,52.2%,11.4%,20.4%,29.5%,4.99,,,,,,,
02M545,High School for Dual Language and Asian Studies,Exceeding Target,59.8%,100.0%,369.8%,103.0%,163.9%,225.7%,4.99,N/A,3.1%,7.9%,,110.0%,197.0%,285.2%,,N/A,16.5%,24.8%,371.9%,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,16.5%,24.8%,87.5%,7.3%,13.0%,18.9%,,N/A,16.5%,24.8%,62.5%,1.4%,2.5%,3.7%,,N/A,9.1%,15.0%,87.5%,11.4%,20.4%,29.5%,,,,,,,,
02M546,Academy for Software Engineering,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
02M551,Urban Assembly New York Harbor School,N/A,5.8%,10.4%,250.0%,103.0%,163.9%,225.7%,,Exceeding Target,23.1%,58.6%,345.8%,110.0%,197.0%,285.2%,4.45,Meeting Target,26.0%,39.0%,131.5%,71.2%,127.5%,184.6%,3.07,Approaching Target,20.2%,51.8%,104.8%,65.3%,116.9%,169.2%,2.77,Exceeding Target,26.0%,39.0%,25.9%,7.3%,13.0%,18.9%,4.79,Not Meeting Target,26.0%,39.0%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,23.6%,38.8%,33.3%,11.4%,20.4%,29.5%,4.27,,,,,,,
02M580,Richard R. Green High School of Teaching,N/A,13.6%,24.4%,200.0%,103.0%,163.9%,225.7%,,Approaching Target,25.6%,65.0%,153.1%,110.0%,197.0%,285.2%,2.50,Approaching Target,36.8%,55.3%,84.8%,71.2%,127.5%,184.6%,2.24,Approaching Target,20.0%,51.3%,100.0%,65.3%,116.9%,169.2%,2.67,Not Meeting Target,36.8%,55.3%,2.2%,7.3%,13.0%,18.9%,1.30,Exceeding Target,36.8%,55.3%,6.5%,1.4%,2.5%,3.7%,4.99,Meeting Target,34.4%,56.6%,26.7%,11.4%,20.4%,29.5%,3.69,,,,,,,
02M600,The High School of Fashion Industries,N/A,8.3%,14.9%,355.0%,103.0%,163.9%,225.7%,,Exceeding Target,12.7%,32.2%,443.5%,110.0%,197.0%,285.2%,4.99,Exceeding Target,17.5%,26.3%,291.3%,71.2%,127.5%,184.6%,4.99,N/A,2.5%,6.4%,266.7%,65.3%,116.9%,169.2%,,Exceeding Target,17.5%,26.3%,30.2%,7.3%,13.0%,18.9%,4.99,Exceeding Target,17.5%,26.3%,6.3%,1.4%,2.5%,3.7%,4.99,Exceeding Target,20.9%,34.4%,54.7%,11.4%,20.4%,29.5%,4.99,,,,,,,
02M615,Chelsea Career and Technical Education High School,N/A,11.3%,20.3%,313.6%,103.0%,163.9%,225.7%,,Exceeding Target,25.8%,65.5%,372.0%,110.0%,197.0%,285.2%,4.64,Exceeding Target,30.9%,46.4%,196.7%,71.2%,127.5%,184.6%,4.14,Exceeding Target,20.6%,52.8%,175.0%,65.3%,116.9%,169.2%,4.07,Meeting Target,30.9%,46.4%,16.7%,7.3%,13.0%,18.9%,3.63,Not Meeting Target,30.9%,46.4%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,37.8%,62.2%,58.1%,11.4%,20.4%,29.5%,4.99,,,,,,,
02M625,High School of Graphic Communication Arts,N/A,13.0%,23.3%,60.0%,103.0%,163.9%,225.7%,,Not Meeting Target,26.6%,67.5%,87.8%,110.0%,197.0%,285.2%,1.80,Not Meeting Target,50.6%,76.0%,65.4%,71.2%,127.5%,184.6%,1.92,Not Meeting Target,24.0%,61.5%,48.6%,65.3%,116.9%,169.2%,1.74,Not Meeting Target,50.6%,76.0%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,50.6%,76.0%,1.3%,1.4%,2.5%,3.7%,1.93,Approaching Target,42.9%,70.6%,18.5%,11.4%,20.4%,29.5%,2.79,,,,,,,
02M630,Art and Design High School,N/A,3.5%,6.3%,254.5%,103.0%,163.9%,225.7%,,Exceeding Target,13.4%,34.0%,438.1%,110.0%,197.0%,285.2%,4.99,N/A,12.1%,18.2%,268.4%,71.2%,127.5%,184.6%,,N/A,5.1%,13.1%,212.5%,65.3%,116.9%,169.2%,,N/A,12.1%,18.2%,34.2%,7.3%,13.0%,18.9%,,N/A,12.1%,18.2%,0.0%,1.4%,2.5%,3.7%,,N/A,13.9%,22.9%,34.2%,11.4%,20.4%,29.5%,,,,,,,,
02M655,Life Sciences Secondary School,N/A,10.4%,18.7%,193.8%,103.0%,163.9%,225.7%,,Meeting Target,19.5%,49.5%,260.0%,110.0%,197.0%,285.2%,3.71,Meeting Target,29.9%,44.9%,170.7%,71.2%,127.5%,184.6%,3.76,Meeting Target,14.3%,36.7%,154.5%,65.3%,116.9%,169.2%,3.72,Not Meeting Target,29.9%,44.9%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,29.9%,44.9%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,40.8%,67.1%,30.0%,11.4%,20.4%,29.5%,4.04,,,,,,,
03M283,Manhattan Theatre Lab High School,Not Meeting Target,25.8%,46.3%,58.8%,103.0%,163.9%,225.7%,1.43,Not Meeting Target,27.3%,69.3%,94.4%,110.0%,197.0%,285.2%,1.86,Approaching Target,47.0%,70.6%,80.6%,71.2%,127.5%,184.6%,2.17,Not Meeting Target,15.2%,39.0%,40.0%,65.3%,116.9%,169.2%,1.61,Not Meeting Target,47.0%,70.6%,3.2%,7.3%,13.0%,18.9%,1.44,Not Meeting Target,47.0%,70.6%,0.0%,1.4%,2.5%,3.7%,1.00,Approaching Target,43.9%,72.2%,16.0%,11.4%,20.4%,29.5%,2.51,,,,,,,
03M299,"High School for Arts, Imagination and Inquiry",Exceeding Target,22.7%,40.8%,227.3%,103.0%,163.9%,225.7%,4.02,Exceeding Target,19.6%,49.7%,294.7%,110.0%,197.0%,285.2%,4.07,Exceeding Target,39.2%,58.9%,211.8%,71.2%,127.5%,184.6%,4.31,Exceeding Target,23.7%,60.8%,232.6%,65.3%,116.9%,169.2%,4.79,Meeting Target,39.2%,58.9%,13.2%,7.3%,13.0%,18.9%,3.03,Meeting Target,39.2%,58.9%,2.6%,1.4%,2.5%,3.7%,3.08,Exceeding Target,53.8%,88.5%,38.0%,11.4%,20.4%,29.5%,4.61,,,,,,,
03M307,"Urban Assembly School for Media Studies, The",Meeting Target,17.2%,30.9%,200.0%,103.0%,163.9%,225.7%,3.58,Exceeding Target,18.2%,46.2%,300.0%,110.0%,197.0%,285.2%,4.11,Exceeding Target,42.4%,63.7%,185.7%,71.2%,127.5%,184.6%,4.01,Meeting Target,24.2%,62.1%,166.7%,65.3%,116.9%,169.2%,3.95,Not Meeting Target,42.4%,63.7%,2.4%,7.3%,13.0%,18.9%,1.33,Approaching Target,42.4%,63.7%,2.4%,1.4%,2.5%,3.7%,2.91,Exceeding Target,48.7%,80.1%,29.7%,11.4%,20.4%,29.5%,4.01,,,,,,,
03M402,The Urban Assembly School for Green Careers,Meeting Target,21.3%,38.2%,164.7%,103.0%,163.9%,225.7%,3.01,Approaching Target,28.8%,73.1%,169.6%,110.0%,197.0%,285.2%,2.69,Approaching Target,56.3%,84.5%,126.7%,71.2%,127.5%,184.6%,2.99,Meeting Target,32.5%,83.3%,146.2%,65.3%,116.9%,169.2%,3.56,Not Meeting Target,56.3%,84.5%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,56.3%,84.5%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,56.7%,93.3%,31.6%,11.4%,20.4%,29.5%,4.15,,,,,,,
03M403,The Global Learning Collaborative,Meeting Target,20.3%,36.4%,192.3%,103.0%,163.9%,225.7%,3.46,Meeting Target,25.8%,65.5%,272.7%,110.0%,197.0%,285.2%,3.86,Exceeding Target,43.0%,64.6%,210.0%,71.2%,127.5%,184.6%,4.29,Exceeding Target,21.9%,56.2%,208.9%,65.3%,116.9%,169.2%,4.50,Exceeding Target,43.0%,64.6%,30.9%,7.3%,13.0%,18.9%,4.99,Exceeding Target,43.0%,64.6%,30.9%,1.4%,2.5%,3.7%,4.99,Exceeding Target,43.0%,70.7%,30.0%,11.4%,20.4%,29.5%,4.04,,,,,,,
03M415,Wadleigh Secondary School for the Performing & Vis,N/A,8.8%,15.8%,130.0%,103.0%,163.9%,225.7%,,Meeting Target,24.6%,62.4%,282.1%,110.0%,197.0%,285.2%,3.96,Exceeding Target,40.4%,60.7%,188.0%,71.2%,127.5%,184.6%,4.04,Approaching Target,14.9%,38.2%,105.9%,65.3%,116.9%,169.2%,2.79,Not Meeting Target,40.4%,60.7%,2.2%,7.3%,13.0%,18.9%,1.30,Approaching Target,40.4%,60.7%,2.2%,1.4%,2.5%,3.7%,2.73,Not Meeting Target,51.6%,84.9%,10.2%,11.4%,20.4%,29.5%,1.89,,,,,,,
03M417,FRANK McCOURT HIGH SCHOOL,N/A,4.0%,7.2%,,103.0%,163.9%,225.7%,,Exceeding Target,17.8%,45.2%,350.0%,110.0%,197.0%,285.2%,4.48,N/A,11.9%,17.9%,300.0%,71.2%,127.5%,184.6%,,N/A,2.0%,5.1%,,65.3%,116.9%,169.2%,,N/A,11.9%,17.9%,0.0%,7.3%,13.0%,18.9%,,N/A,11.9%,17.9%,0.0%,1.4%,2.5%,3.7%,,N/A,9.6%,15.8%,57.1%,11.4%,20.4%,29.5%,,,,,,,,
