Additional Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,Average Score Regents Algebra,Percentage Passing Regents Algebra,Percentage at college ready threshold Regents Algebra,Average Score Regents Geometry,Percentage Passing Regents Geometry,Percentage at college ready threshold Regents Geometry,Average Score Regents Algebra 2/Trig,Percentage Passing Regents Algebra 2/Trig,Percentage at college ready threshold Regents Algebra 2/Trig,Average Score Regents English,Percentage Passing Regents English,Percentage at college ready threshold Regents English,Average Score Regents US History,Percentage Passing Regents US History,Average Score Regents Global History,Percentage Passing Regents Global History,Average Score Regents Chemistry,Percentage Passing Regents Chemistry,Average Score Regents Physics,Percentage Passing Regents Physics,Average Score Regents Earth Science,Percentage Passing Regents Earth Science,Average Score Regents Living Environment,Percentage Passing Regents Living Environment,Average Score Regents Languages Other Than English,Percentage Passing Regents Languages Other Than English,Average Score SAT Math,Percentage of 4-year Cohort Taking SAT Math,Percentage College Ready SAT Math,Average Score SAT Critical Reading,Percentage of 4-year Cohort Taking SAT Critical Reading,Percentage College Ready SAT Critical Reading,Average Score SAT Writing,Percentage of 4-year Cohort Taking SAT Writing,Average Score ACT Math,Percentage of 4-year Cohort Taking ACT Math,Percentage College Ready ACT Math,Average Score ACT English,Percentage of 4-year Cohort Taking ACT English,Percentage College Ready ACT English,Average Score ACT Reading,Percentage of 4-year Cohort Taking ACT Reading,Average Score ACT Science,Percentage of 4-year Cohort Taking ACT Science,Average Score CUNY Math 1,Percentage of 4-year Cohort Taking CUNY Math 1,Average Score CUNY Math 2,Percentage of 4-year Cohort Taking CUNY Math 2,Percentage College Ready CUNY Math 2,Average Score CUNY Reading,Percentage of 4-year Cohort Taking CUNY Reading,Percentage College Ready CUNY Reading,Average Score CUNY Writing,Percentage of 4-year Cohort Taking CUNY Writing,Percentage College Ready CUNY Writing,Post-secondary Enrollment Rate (6 months),Post-secondary Enrollment Rate (18 months),CUNY 2-Year (6 months),CUNY 2-Year (18 months),CUNY 4-Year (6 months),CUNY 4-Year (18 months),NYS Public (6 months),NYS Public (18 months),NYS Private (6 months),NYS Private (18 months),Out of State (6 months),Out of State (18 months),Public Service (6 months),Public Service (18 months),Vocational Program (6 months),Vocational Program (18 months),CRI (Percentage of 4 year Cohort),CRI (Percentage of 6 year Cohort),Percentage Attaining Regents Diploma (4 year),Percentage Attaining Regents Diploma (6 year),Percentage Attaining Math College Readiness Standard,Percentage Attaining Math College Readiness Standard (6 year),Percentage Attaining English College Readiness Standard,Percentage Attaining English College Readiness Standard (6 year),College and Career Preparatory Course Index,"Percentage Scoring 65+ on Alg2, MathB, Chem, or Phys Regents Exam",Percentage Scoring 3+ on any AP Exam,Percentage Scoring 4+ on any IB Exam,Percentage Earning a Diploma with a CTE Endorsement,Percentage Passing an Industry-Recognized Technical Assessment,Percentage Earning a Diploma with an Arts Endorsement,Percentage Earning a Grade of 'C' or Higher for College Credit,Percentage Passing a CPCC Course
02M416,Eleanor Roosevelt High School,88,100.0%,99.1%,84,93.5%,72.7%,81,84.7%,62.6%,93,100.0%,98.6%,94,100.0%,91,98.6%,83,97.3%,80,88.1%,,,91,98.5%,94,100.0%,641,86.0%,100.0%,617,86.0%,100.0%,631,86.0%,29,22.5%,100.0%,29,22.5%,100.0%,27,13.2%,28,22.5%,,0.0%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,0.0%,95.3%,94.3%,0.0%,1.6%,21.9%,11.5%,23.4%,17.2%,13.3%,13.1%,36.7%,49.2%,0.0%,1.6%,0.0%,0.0%,99.2%,95.1%,100.0%,100.0%,99.2%,96.7%,100.0%,98.4%,100.0%,99.2%,78.3%,0.0%,0.0%,0.8%,0.0%,7.0%,0.0%
02M418,Millennium High School,76,94.2%,36.0%,82,98.0%,61.6%,81,89.9%,60.9%,81,100.0%,81.5%,91,100.0%,89,98.7%,77,88.4%,72,82.7%,,,88,96.8%,83,88.8%,577,94.0%,100.0%,560,94.0%,100.0%,567,94.0%,26,41.7%,100.0%,25,41.7%,100.0%,26,26.5%,25,41.7%,,3.3%,,3.3%,0.0%,,0.7%,100.0%,,1.3%,100.0%,89.9%,91.6%,6.8%,2.2%,25.0%,25.8%,22.3%,19.1%,9.5%,15.2%,26.4%,29.2%,0.0%,0.0%,0.0%,0.0%,92.1%,93.3%,100.0%,99.4%,92.7%,93.3%,98.0%,100.0%,89.4%,86.8%,49.7%,0.0%,0.0%,0.0%,0.0%,22.5%,0.0%
02M419,Landmark High School,,,,,,,,,,69,79.4%,41.2%,,,,,,,,,,,,,,,386,30.6%,100.0%,386,30.6%,100.0%,386,30.6%,,5.1%,0.0%,,5.1%,100.0%,,3.1%,,5.1%,,12.2%,,12.2%,0.0%,,9.2%,100.0%,,9.2%,100.0%,50.0%,46.5%,11.8%,20.2%,5.9%,5.1%,13.7%,5.1%,16.7%,9.1%,2.0%,3.0%,0.0%,0.0%,0.0%,0.0%,22.4%,26.3%,50.0%,52.5%,46.9%,48.5%,27.6%,28.3%,18.4%,0.0%,1.0%,0.0%,0.0%,0.0%,0.0%,17.3%,0.0%
02M420,High School for Health Professions and Human Servi,72,84.9%,19.1%,72,79.8%,25.5%,64,54.4%,20.3%,78,91.9%,67.9%,82,89.8%,73,75.0%,73,84.7%,74,81.5%,62,42.4%,73,76.2%,89,97.5%,452,86.9%,100.0%,445,86.9%,100.0%,430,86.9%,21,7.6%,100.0%,19,7.6%,100.0%,21,6.7%,21,7.6%,33,24.4%,35,36.4%,100.0%,72,16.9%,100.0%,54,17.3%,100.0%,78.9%,81.8%,17.9%,21.5%,37.3%,34.0%,11.9%,11.7%,6.0%,9.2%,5.2%,4.1%,0.0%,0.0%,0.0%,0.0%,51.6%,40.8%,82.4%,85.3%,53.1%,41.8%,77.1%,78.0%,88.4%,52.0%,18.7%,0.0%,0.0%,0.4%,0.0%,46.2%,67.1%
02M422,Quest to Learn,66,68.3%,2.4%,64,56.6%,7.9%,48,23.1%,10.3%,79,93.4%,73.7%,77,83.3%,63,48.4%,53,21.6%,,,63,46.5%,77,78.9%,89,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M425,Leadership and Public Service High School,61,38.6%,0.0%,57,31.1%,4.9%,,,,71,74.3%,47.4%,70,66.3%,61,47.1%,,,,,67,64.6%,65,55.0%,98,100.0%,390,54.9%,100.0%,396,54.9%,100.0%,392,54.9%,19,9.3%,100.0%,18,9.3%,100.0%,,3.7%,19,9.3%,30,19.8%,24,21.0%,100.0%,,8.0%,100.0%,,8.0%,100.0%,45.9%,55.1%,10.1%,15.0%,12.8%,15.6%,11.5%,14.3%,8.1%,6.1%,2.0%,2.7%,0.0%,0.0%,0.0%,0.0%,14.8%,23.8%,55.6%,64.6%,16.7%,29.3%,53.1%,45.6%,28.4%,7.4%,16.0%,0.0%,0.0%,0.6%,0.0%,13.0%,0.0%
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,62,45.4%,5.6%,59,35.6%,2.0%,,,,66,70.3%,32.8%,71,78.8%,65,64.1%,,,,,55,29.5%,66,61.0%,95,100.0%,350,46.1%,100.0%,334,46.1%,100.0%,321,46.1%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,29,33.7%,29,40.4%,100.0%,56,23.6%,100.0%,47,27.0%,100.0%,35.4%,,24.0%,,5.2%,,2.1%,,2.1%,,0.0%,,0.0%,,0.0%,,7.9%,,52.8%,,9.0%,,28.1%,,6.7%,2.2%,0.0%,0.0%,0.0%,0.0%,0.0%,6.7%,0.0%
02M429,Legacy School for Integrated Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0%,0.0%,,65.0%,100.0%,,65.0%,,5.0%,0.0%,,5.0%,0.0%,,5.0%,,5.0%,,20.0%,,45.0%,100.0%,,35.0%,100.0%,,35.0%,100.0%,29.5%,39.3%,11.4%,18.0%,9.1%,7.9%,4.5%,6.7%,4.5%,5.6%,0.0%,1.1%,0.0%,0.0%,0.0%,0.0%,25.0%,7.9%,45.0%,43.8%,25.0%,7.9%,30.0%,32.6%,10.0%,10.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
02M437,Hudson High School of Learning Technologies,58,31.3%,0.0%,49,6.0%,0.0%,,,,67,68.4%,28.7%,65,60.3%,54,29.6%,,,,,,,64,54.6%,,,378,71.8%,100.0%,407,71.8%,100.0%,388,71.8%,,2.6%,100.0%,,2.6%,100.0%,,2.6%,,2.6%,34,40.2%,23,41.9%,100.0%,69,28.2%,100.0%,52,27.4%,100.0%,72.4%,,28.6%,,22.4%,,6.1%,,5.1%,,10.2%,,0.0%,,0.0%,,8.5%,,60.7%,,8.5%,,41.0%,,3.4%,0.0%,0.0%,0.0%,0.0%,0.9%,0.0%,2.6%,0.0%
02M438,International High School at Union Square,63,49.2%,10.4%,,,,,,,56,42.3%,13.5%,,,,,,,,,,,,,,,403,53.2%,100.0%,330,53.2%,100.0%,316,53.2%,,8.9%,100.0%,,8.9%,0.0%,,7.6%,,8.9%,39,26.6%,32,38.0%,100.0%,50,25.3%,100.0%,38,26.6%,100.0%,34.4%,,9.7%,,11.8%,,5.4%,,4.3%,,0.0%,,0.0%,,0.0%,,29.1%,,51.9%,,20.3%,,31.6%,,25.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,8.9%,0.0%
02M439,Manhattan Village Academy,77,97.7%,30.1%,75,95.3%,23.6%,84,98.9%,68.4%,95,100.0%,99.0%,90,100.0%,80,96.2%,71,83.5%,79,92.0%,81,97.2%,77,91.7%,89,99.0%,522,98.8%,100.0%,479,98.8%,100.0%,510,98.8%,,17.3%,100.0%,,17.3%,100.0%,,7.4%,,17.3%,,8.6%,,14.8%,100.0%,,4.9%,100.0%,,4.9%,100.0%,95.6%,92.9%,11.4%,20.4%,38.6%,34.5%,21.1%,12.4%,9.6%,7.1%,14.9%,16.8%,0.0%,0.0%,0.0%,0.0%,90.1%,66.4%,96.3%,100.0%,91.4%,69.9%,96.3%,84.1%,95.1%,95.1%,44.4%,0.0%,0.0%,1.2%,0.0%,37.0%,0.0%
02M449,Vanguard High School,,,,,,,,,,74,85.1%,58.8%,,,,,,,,,,,,,,,431,63.8%,100.0%,409,63.8%,100.0%,396,63.8%,,6.9%,100.0%,,6.9%,100.0%,,6.9%,,6.9%,31,24.1%,30,30.2%,100.0%,73,17.2%,100.0%,53,17.2%,100.0%,59.5%,60.4%,9.0%,14.6%,18.9%,11.5%,17.1%,15.6%,10.8%,14.6%,2.7%,4.2%,0.0%,0.0%,0.0%,0.0%,44.0%,30.2%,73.3%,79.2%,56.9%,59.4%,54.3%,40.6%,40.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.5%,0.0%
02M459,Manhattan International High School,,,,,,,,,,66,57.8%,29.4%,,,,,,,,,,,,,,,438,58.6%,100.0%,358,58.6%,100.0%,382,58.6%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,30,32.9%,28,40.0%,100.0%,,12.9%,100.0%,,12.9%,100.0%,60.6%,70.4%,21.2%,33.8%,31.8%,23.9%,4.5%,7.0%,3.0%,2.8%,0.0%,1.4%,0.0%,0.0%,0.0%,0.0%,47.1%,46.5%,72.9%,85.9%,72.9%,85.9%,51.4%,47.9%,18.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,18.6%,0.0%
02M460,Washington Irving High School,,,,,,,,,,54,23.5%,0.0%,57,35.3%,52,30.0%,,,,,,,,,,,423,29.5%,100.0%,423,29.5%,100.0%,405,29.5%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,34,19.3%,27,25.0%,100.0%,72,17.0%,100.0%,53,18.2%,100.0%,30.6%,41.4%,12.2%,12.6%,5.6%,14.0%,3.3%,7.2%,3.3%,3.6%,6.1%,1.4%,0.0%,0.0%,0.0%,0.0%,5.7%,12.6%,45.5%,52.5%,14.8%,12.6%,25.0%,39.9%,37.5%,8.0%,0.0%,0.0%,0.0%,0.0%,0.0%,35.2%,0.0%
02M475,Stuyvesant High School,91,100.0%,89.7%,94,99.9%,98.7%,93,99.1%,93.6%,91,100.0%,99.1%,96,100.0%,94,99.9%,89,99.4%,91,99.0%,,,94,100.0%,94,99.7%,754,97.4%,100.0%,697,97.4%,100.0%,693,97.4%,34,43.9%,100.0%,32,43.9%,100.0%,31,32.9%,31,43.9%,,0.0%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,0.0%,98.3%,99.3%,0.4%,0.1%,12.0%,15.2%,19.6%,18.1%,27.1%,26.6%,38.7%,38.4%,0.0%,0.1%,0.0%,0.0%,98.9%,99.6%,98.9%,99.6%,100.0%,100.0%,99.9%,99.9%,99.8%,99.8%,84.3%,0.0%,0.0%,0.6%,0.0%,3.2%,0.4%
02M489,High School of Economics and Finance,69,72.2%,12.1%,66,61.6%,14.2%,48,22.6%,7.1%,78,88.8%,68.5%,80,89.3%,69,69.9%,59,29.5%,53,18.9%,61,45.7%,74,79.8%,91,100.0%,469,66.8%,100.0%,442,66.8%,100.0%,447,66.8%,20,25.6%,100.0%,17,25.6%,100.0%,18,14.1%,19,25.6%,41,24.6%,34,34.2%,100.0%,76,23.6%,100.0%,57,24.1%,100.0%,80.0%,75.3%,19.4%,15.1%,36.8%,37.3%,7.7%,10.8%,6.5%,6.6%,7.1%,3.6%,0.0%,0.0%,0.6%,0.0%,44.7%,48.8%,71.4%,76.5%,48.7%,52.4%,68.3%,66.9%,46.2%,26.6%,16.1%,0.0%,0.0%,0.5%,0.0%,11.1%,20.1%
02M500,Unity Center for Urban Technologies,65,56.9%,9.6%,63,37.0%,11.1%,51,18.8%,6.3%,75,88.9%,63.0%,74,84.0%,61,48.0%,54,15.8%,,,54,46.7%,65,57.3%,93,100.0%,375,62.8%,100.0%,385,62.8%,100.0%,387,62.8%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,30,44.2%,24,48.8%,100.0%,,32.6%,100.0%,52,34.9%,100.0%,33.3%,41.5%,19.3%,14.6%,8.8%,11.0%,5.3%,3.7%,0.0%,6.1%,0.0%,4.9%,0.0%,0.0%,0.0%,0.0%,11.6%,36.6%,58.1%,57.3%,11.6%,6.1%,51.2%,29.3%,14.0%,9.3%,0.0%,0.0%,0.0%,0.0%,0.0%,11.6%,0.0%
02M507,Urban Assembly Gateway School for Technology,68,67.0%,11.7%,62,48.3%,10.3%,46,17.2%,6.3%,77,87.4%,62.9%,84,93.4%,75,78.1%,61,35.3%,37,4.5%,71,71.0%,75,82.6%,,,445,78.4%,100.0%,432,78.4%,100.0%,415,78.4%,,0.9%,100.0%,,0.9%,100.0%,,0.9%,,0.9%,42,38.8%,33,50.9%,100.0%,69,24.1%,100.0%,53,24.1%,100.0%,,,,,,,,,,,,,,,,,43.1%,,82.8%,,46.6%,,73.3%,,68.1%,19.8%,11.2%,0.0%,63.8%,65.5%,0.0%,12.9%,0.0%
02M519,Talent Unlimited High School,72,92.0%,11.2%,76,86.3%,36.0%,68,58.2%,35.2%,83,100.0%,86.5%,89,99.2%,81,92.2%,66,50.0%,63,53.1%,,,81,94.4%,,,485,89.3%,100.0%,498,89.3%,100.0%,496,89.3%,21,21.4%,100.0%,21,21.4%,100.0%,23,17.9%,19,21.4%,,14.3%,30,17.9%,100.0%,,8.3%,100.0%,,8.3%,100.0%,81.7%,87.8%,12.0%,16.2%,19.4%,20.3%,16.6%,20.3%,9.7%,13.5%,21.7%,13.5%,0.0%,0.0%,0.0%,0.0%,57.1%,45.9%,96.4%,97.3%,58.3%,50.0%,91.7%,79.7%,92.9%,65.5%,17.9%,0.0%,0.0%,0.0%,91.7%,23.8%,3.6%
02M520,Murry Bergtraum High School for Business Careers,62,42.1%,5.1%,54,27.1%,9.3%,52,23.3%,13.3%,68,73.4%,39.1%,65,62.3%,57,35.1%,60,48.0%,,,51,27.1%,63,52.0%,,,418,44.3%,100.0%,415,44.3%,100.0%,398,44.3%,,2.5%,100.0%,,2.5%,100.0%,,2.5%,,2.5%,36,18.9%,31,24.2%,100.0%,72,11.6%,100.0%,51,11.3%,100.0%,36.9%,49.6%,10.7%,18.4%,14.8%,16.3%,4.5%,3.1%,4.0%,5.9%,2.2%,3.3%,0.0%,0.0%,0.0%,0.0%,11.6%,17.0%,43.7%,61.9%,16.7%,21.1%,38.1%,47.3%,24.5%,4.4%,6.3%,0.0%,0.0%,0.0%,0.0%,20.4%,0.0%
02M529,Jacqueline Kennedy Onassis High School,61,42.6%,1.7%,58,37.1%,9.8%,47,6.3%,6.3%,71,82.1%,40.2%,72,77.6%,63,48.2%,59,29.4%,,,57,40.0%,67,62.4%,92,98.6%,418,53.8%,100.0%,422,53.8%,100.0%,415,53.8%,17,21.0%,100.0%,17,21.0%,100.0%,19,17.7%,18,21.0%,30,21.0%,30,26.3%,100.0%,75,18.3%,100.0%,57,19.4%,100.0%,45.7%,54.1%,16.2%,25.4%,9.8%,11.0%,11.0%,6.1%,5.2%,6.1%,2.3%,5.0%,0.0%,0.0%,0.0%,0.0%,18.8%,26.5%,59.7%,67.4%,24.2%,28.2%,46.2%,63.5%,17.7%,6.5%,14.0%,0.0%,0.0%,1.6%,0.0%,3.8%,0.0%
02M531,Repertory Company High School for Theatre Arts,72,84.4%,17.8%,61,48.1%,3.7%,44,8.1%,0.0%,78,94.6%,60.7%,84,96.7%,70,72.2%,55,9.1%,,,68,67.7%,75,79.7%,,,425,89.5%,100.0%,451,89.5%,100.0%,458,89.5%,,7.0%,0.0%,,7.0%,0.0%,,7.0%,,7.0%,,24.6%,34,36.8%,100.0%,,12.3%,100.0%,,12.3%,100.0%,74.5%,82.2%,13.7%,17.8%,15.7%,28.9%,5.9%,11.1%,19.6%,11.1%,17.6%,13.3%,0.0%,0.0%,0.0%,0.0%,36.8%,15.6%,98.2%,97.8%,38.6%,17.8%,77.2%,80.0%,87.7%,12.3%,17.5%,0.0%,0.0%,0.0%,87.7%,26.3%,0.0%
02M533,Union Square Academy for Health Sciences,62,42.9%,4.6%,59,42.9%,6.7%,36,5.7%,1.1%,70,73.7%,43.9%,81,92.3%,65,57.9%,47,6.5%,,,70,72.2%,66,60.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M534,Harvest Collegiate High School,,,,,,,,,,77,91.5%,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M542,Manhattan Bridges High School,70,83.7%,11.3%,69,75.9%,9.5%,64,50.7%,13.4%,72,87.3%,47.4%,80,93.1%,65,65.0%,57,10.0%,55,30.4%,68,59.7%,73,77.2%,94,100.0%,409,84.4%,100.0%,360,84.4%,100.0%,347,84.4%,,2.5%,100.0%,,2.5%,100.0%,,1.6%,,2.5%,30,46.7%,29,59.0%,100.0%,55,32.0%,100.0%,46,31.1%,100.0%,68.3%,71.6%,25.4%,33.8%,23.9%,28.4%,6.3%,2.7%,9.9%,4.7%,0.7%,0.7%,0.0%,0.0%,0.0%,0.0%,41.8%,21.6%,92.6%,87.8%,45.1%,24.3%,70.5%,51.4%,88.5%,45.1%,68.0%,0.0%,0.0%,55.7%,0.0%,24.6%,31.1%
02M543,New Design High School,68,68.0%,9.3%,,,,,,,76,86.5%,60.4%,71,77.1%,64,49.6%,,,,,59,35.6%,65,56.1%,,,381,73.7%,100.0%,396,73.7%,100.0%,372,73.7%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,33,41.4%,26,45.5%,100.0%,66,20.2%,100.0%,52,20.2%,100.0%,59.3%,61.7%,20.9%,17.0%,8.8%,10.6%,23.1%,16.0%,3.3%,6.4%,0.0%,7.4%,0.0%,0.0%,0.0%,0.0%,10.1%,11.7%,64.6%,77.7%,13.1%,13.8%,54.5%,55.3%,11.1%,1.0%,1.0%,0.0%,0.0%,0.0%,0.0%,10.1%,0.0%
02M545,High School for Dual Language and Asian Studies,83,98.8%,66.7%,83,96.9%,61.2%,82,85.1%,64.9%,79,97.0%,76.3%,86,96.4%,85,98.2%,84,98.1%,78,79.5%,79,91.7%,83,98.7%,92,97.3%,613,95.9%,100.0%,453,95.9%,100.0%,463,95.9%,,11.3%,100.0%,,11.3%,100.0%,,8.2%,,11.3%,,2.1%,,6.2%,100.0%,67,21.6%,100.0%,46,21.6%,100.0%,89.8%,83.9%,5.7%,11.5%,43.2%,48.3%,23.9%,17.2%,11.4%,4.6%,5.7%,2.3%,0.0%,0.0%,0.0%,0.0%,81.4%,81.6%,96.9%,100.0%,93.8%,93.1%,81.4%,85.1%,94.8%,84.5%,90.7%,0.0%,0.0%,0.0%,0.0%,18.6%,0.0%
02M546,Academy for Software Engineering,69,73.9%,11.7%,65,56.0%,7.8%,62,46.6%,19.3%,79,95.4%,76.2%,74,82.3%,68,66.1%,71,71.1%,,,61,37.5%,75,85.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M551,Urban Assembly New York Harbor School,65,56.7%,2.9%,68,56.5%,13.0%,61,50.0%,21.9%,75,81.7%,53.3%,77,80.7%,69,69.4%,69,53.3%,,,71,68.6%,73,81.3%,,,446,78.8%,100.0%,453,78.8%,100.0%,428,78.8%,21,23.1%,100.0%,21,23.1%,100.0%,23,14.4%,23,23.1%,41,23.1%,29,26.0%,100.0%,,11.5%,100.0%,,11.5%,100.0%,51.7%,60.7%,9.0%,12.4%,12.4%,15.7%,10.1%,13.5%,6.7%,9.0%,11.2%,7.9%,0.0%,0.0%,0.0%,0.0%,33.7%,24.7%,77.9%,74.2%,34.6%,32.6%,72.1%,51.7%,55.8%,25.0%,9.6%,0.0%,35.6%,35.6%,0.0%,30.8%,0.0%
02M580,Richard R. Green High School of Teaching,62,46.7%,4.5%,56,23.9%,2.2%,57,28.1%,6.3%,72,76.9%,52.6%,69,70.2%,58,35.1%,59,25.0%,,,62,47.5%,65,55.4%,93,95.2%,411,60.0%,100.0%,415,60.0%,100.0%,409,60.0%,18,13.6%,100.0%,16,13.6%,100.0%,19,12.0%,17,13.6%,37,20.8%,33,28.0%,100.0%,68,12.0%,100.0%,,10.4%,100.0%,52.7%,64.8%,10.7%,20.3%,17.6%,20.3%,11.5%,10.2%,6.9%,10.2%,4.6%,1.6%,0.0%,0.0%,0.0%,0.0%,27.2%,30.5%,58.4%,69.5%,32.8%,34.4%,50.4%,59.4%,16.8%,8.8%,8.0%,0.0%,0.0%,0.0%,0.0%,5.6%,0.0%
02M600,The High School of Fashion Industries,68,72.1%,9.9%,63,52.7%,4.0%,51,23.9%,5.5%,80,96.8%,79.8%,81,92.4%,72,75.4%,63,46.5%,,,69,67.9%,74,80.0%,88,94.6%,433,80.6%,100.0%,442,80.6%,100.0%,427,80.6%,18,10.2%,100.0%,17,10.2%,100.0%,19,9.1%,18,10.2%,33,22.7%,30,27.4%,100.0%,69,10.8%,100.0%,53,11.1%,100.0%,72.4%,76.9%,21.2%,19.8%,15.3%,19.5%,20.3%,21.2%,7.2%,7.8%,5.8%,8.1%,0.0%,0.0%,0.0%,0.0%,41.6%,45.1%,88.1%,90.3%,45.7%,45.7%,78.4%,86.9%,68.1%,21.1%,12.5%,0.0%,58.4%,60.4%,15.5%,12.2%,0.0%
02M615,Chelsea Career and Technical Education High School,66,66.7%,1.7%,68,58.7%,14.7%,56,28.1%,6.3%,83,95.8%,84.2%,83,92.0%,70,66.3%,79,100.0%,,,76,89.2%,80,94.5%,,,439,80.4%,100.0%,418,80.4%,100.0%,400,80.4%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,42,33.0%,30,38.1%,100.0%,75,20.6%,100.0%,56,22.7%,100.0%,75.6%,69.9%,28.0%,19.4%,25.6%,34.4%,13.4%,9.7%,3.7%,1.1%,2.4%,4.3%,0.0%,0.0%,0.0%,0.0%,26.8%,32.3%,78.4%,75.3%,30.9%,34.4%,62.9%,60.2%,49.5%,28.9%,8.2%,0.0%,33.0%,35.1%,0.0%,8.2%,0.0%
02M625,High School of Graphic Communication Arts,58,30.8%,1.5%,48,13.6%,0.0%,,,,67,67.6%,43.4%,64,54.2%,57,42.0%,,,,,,,59,45.6%,,,405,31.2%,100.0%,413,31.2%,100.0%,414,31.2%,,0.6%,0.0%,,0.6%,0.0%,,0.0%,,0.6%,33,16.2%,24,16.9%,100.0%,,6.5%,100.0%,,7.1%,100.0%,37.3%,44.9%,13.9%,21.5%,10.2%,9.2%,5.9%,2.8%,4.0%,4.3%,2.0%,4.0%,0.0%,0.0%,0.0%,0.0%,5.2%,9.0%,44.8%,61.0%,5.2%,10.2%,35.1%,47.3%,4.5%,4.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
02M630,Art and Design High School,64,58.6%,2.5%,70,72.6%,19.6%,55,31.1%,5.9%,74,84.9%,54.1%,80,88.9%,68,63.1%,63,46.2%,72,68.6%,67,63.4%,76,83.5%,91,97.2%,455,70.1%,100.0%,475,70.1%,100.0%,458,70.1%,21,5.7%,100.0%,21,5.7%,100.0%,,4.1%,20,5.7%,40,15.6%,37,25.5%,100.0%,75,9.2%,100.0%,55,8.9%,100.0%,59.0%,73.5%,17.2%,20.1%,10.6%,14.4%,12.5%,11.8%,9.5%,16.6%,7.7%,8.6%,0.0%,0.0%,0.0%,1.0%,36.9%,28.1%,81.8%,85.9%,39.8%,29.7%,74.8%,81.2%,72.0%,28.7%,21.7%,0.0%,44.9%,45.5%,61.5%,3.8%,0.0%
02M655,Life Sciences Secondary School,62,47.8%,3.9%,65,50.8%,13.6%,58,31.6%,2.6%,71,78.8%,44.7%,66,57.3%,63,48.4%,,,,,58,34.1%,64,50.0%,90,100.0%,435,63.0%,100.0%,440,63.0%,100.0%,425,63.0%,17,10.4%,0.0%,16,10.4%,100.0%,,9.1%,18,10.4%,36,16.2%,32,22.1%,100.0%,74,12.3%,100.0%,56,12.3%,100.0%,53.7%,56.8%,17.7%,17.4%,12.2%,12.1%,10.2%,6.8%,11.6%,11.4%,1.4%,7.6%,0.0%,0.0%,0.0%,0.0%,26.0%,37.9%,78.6%,65.2%,31.8%,22.0%,61.0%,53.8%,22.1%,18.2%,5.8%,0.0%,0.0%,0.0%,0.0%,11.0%,0.0%
03M283,Manhattan Theatre Lab High School,63,59.1%,4.5%,,,,,,,63,56.0%,24.0%,66,75.9%,61,58.3%,,,,,,,59,33.3%,,,362,50.0%,100.0%,376,50.0%,100.0%,385,50.0%,,7.6%,100.0%,,7.6%,0.0%,,6.1%,,7.6%,30,37.9%,22,39.4%,100.0%,63,25.8%,100.0%,52,24.2%,100.0%,38.6%,50.7%,7.0%,26.1%,10.5%,13.0%,10.5%,5.8%,5.3%,1.4%,3.5%,2.9%,0.0%,0.0%,0.0%,0.0%,7.6%,8.7%,42.4%,56.5%,9.1%,8.7%,34.8%,49.3%,6.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,6.1%,0.0%
